開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,第7数字,BONUS数字1,BONUS数字2,1等口数,2等口数,3等口数,4等口数,5等口数,6等口数,1等賞金,2等賞金,3等賞金,4等賞金,5等賞金,6等賞金,キャリーオーバー
110,2015/5/22,4,12,22,30,31,35,36,19,37,0,5,97,5982,107601,193433,0,24076400,1737400,16500,2200,1100,1552785590
111,2015/5/29,7,8,9,24,28,30,33,1,34,1,20,462,9785,141811,216444,800000000,6520500,395100,10900,1800,1000,1156138945
112,2015/6/5,6,7,10,15,27,35,36,13,20,0,11,185,7596,124932,200050,0,10423500,867600,12300,1800,1000,1500897975
113,2015/6/12,4,6,7,9,15,17,37,14,20,0,5,143,8092,131713,197180,0,24776900,1212800,12500,1900,1100,1865147520
114,2015/6/19,8,13,26,27,28,29,37,4,12,1,13,176,9938,149653,269436,800000000,10381400,1073500,11100,1800,900,1458876495
115,2015/6/26,6,8,13,14,20,25,27,24,26,1,12,208,8562,132365,223347,800000000,10371300,837600,11900,1900,1000,1019016770
116,2015/7/3,9,14,23,27,28,31,32,3,20,1,7,159,8032,121251,196929,800000000,16907200,1042000,12100,1900,1000,585423220
117,2015/7/10,9,10,20,28,31,34,37,23,26,0,4,99,5050,87904,165536,0,27178600,1537300,17600,2500,1100,913053470
118,2015/7/17,5,8,9,24,27,28,30,16,20,0,9,213,11376,140813,198944,0,11925600,705400,7700,1500,900,1243142375
119,2015/7/24,3,6,8,14,15,25,36,24,35,1,90,223,11619,137464,229907,800000000,1234300,697400,7800,1600,800,784900955
120,2015/7/31,2,16,18,26,32,35,37,9,36,0,5,125,5325,90974,163486,0,21086900,1180800,16200,2300,1100,1103234440
121,2015/8/7,2,4,13,16,21,30,37,19,29,1,3,103,5189,87477,164610,800000000,35571400,1450400,16800,2400,1100,628349190
122,2015/8/14,2,16,18,26,27,34,35,5,12,0,9,130,6455,91608,171725,0,11120500,1077800,12700,2200,1000,926503785
123,2015/8/21,1,3,5,8,29,34,36,23,28,1,11,117,6184,112178,226852,800000000,10030800,1320200,14600,1900,800,472187410
124,2015/8/28,1,2,15,17,18,22,36,6,27,1,6,94,5424,91676,178588,785704400,17461400,1560300,15800,2300,1000,0
125,2015/9/4,1,6,11,14,19,28,35,18,21,0,4,146,6273,93226,138088,0,21167200,811800,11000,1800,1100,248655270
126,2015/9/11,4,10,13,16,17,21,27,1,18,2,3,119,5526,89632,149649,265266200,31531800,1112800,14000,2100,1100,0
127,2015/9/18,10,12,15,23,28,30,35,6,25,2,16,144,6662,97309,149636,125520200,5042700,784400,9900,1600,900,0
128,2015/9/25,2,4,8,23,26,27,32,3,35,1,7,104,5578,84609,148326,233557500,11052200,1041400,11300,1800,900,0
129,2015/10/2,5,7,11,19,24,27,30,29,35,1,10,141,6246,91513,140404,229587800,7828100,777200,10200,1700,1000,0
130,2015/10/9,1,15,20,23,25,31,32,5,24,0,4,68,3633,62774,119695,0,18949300,1560500,17100,2400,1100,226123355
131,2015/10/16,3,4,12,17,32,34,36,23,31,0,7,98,4936,82400,148373,0,12634400,1263400,14700,2100,1000,497901650
132,2015/10/23,7,10,14,16,20,30,31,35,37,0,7,113,5432,89305,155506,0,14771100,1281000,15600,2300,1200,799493370
133,2015/10/30,3,7,13,15,17,21,30,14,27,0,9,170,7575,119190,207611,0,12735100,943800,12400,1900,1000,1134284665
134,2015/11/6,4,9,20,28,30,34,35,12,29,0,12,126,6497,114011,209075,0,9879700,1317200,14900,2100,1000,1481435860
135,2015/11/13,8,9,13,14,24,32,34,3,4,0,7,169,7454,121932,223604,0,17695100,1026000,13600,2000,1000,1845014875
136,2015/11/20,10,17,24,27,30,33,37,18,31,0,12,138,7501,120568,211203,0,10716600,1304600,14000,2100,1100,2147483647
137,2015/11/27,13,19,21,25,27,32,35,16,20,1,25,192,8883,128611,209643,800000000,5282900,963000,12200,2000,1100,1820523185
138,2015/12/4,2,5,17,20,21,32,33,30,35,1,9,154,6562,105002,177272,800000000,13318500,1089600,15000,2300,1200,1370182325
139,2015/12/11,9,16,18,21,23,34,35,4,36,0,10,143,7128,111609,201359,0,11434100,1119400,13100,2000,1000,1712940710
140,2015/12/18,3,11,12,13,17,26,35,1,33,0,5,141,8119,130651,217378,0,24262700,1204500,12200,1800,1000,2074538935
141,2015/12/25,2,10,18,30,31,32,36,21,29,1,6,161,7645,122514,210961,800000000,22037800,1149700,14200,2100,1100,1672001745
142,2016/1/8,6,12,14,18,21,27,28,1,33,0,20,180,9004,142612,245135,0,6745000,1049200,12300,1900,1000,2060628715
143,2016/1/15,1,3,8,14,28,29,33,4,31,0,18,218,10077,147524,235436,0,7204200,832700,10500,1700,1000,2147483647
144,2016/1/22,2,9,13,18,22,32,36,17,26,1,21,249,10143,147247,245690,800000000,6503100,767800,11000,1800,1000,2050454225
145,2016/1/29,10,12,18,28,29,30,35,4,19,0,18,194,9476,139105,234198,0,6993600,908400,10900,1800,900,2147483647
146,2016/2/5,4,10,25,27,28,33,34,15,35,1,11,160,8350,136343,239815,800000000,12190200,1173200,13100,1900,1000,2034765345
147,2016/2/12,1,5,7,12,15,24,25,8,14,2,18,198,10536,150535,235286,800000000,6995700,890300,9800,1600,900,826803760
148,2016/2/19,1,9,11,16,20,30,34,12,33,0,15,117,6038,103270,179666,0,7948400,1426600,16200,2300,1200,1173362780
149,2016/2/26,1,4,15,19,22,23,31,12,32,1,8,160,7774,121130,192840,800000000,14895800,1042600,12500,1900,1100,730966110
150,2016/3/4,6,7,14,20,27,31,34,11,24,1,12,171,6898,105383,181216,800000000,9273400,911000,13200,2100,1100,256955660
151,2016/3/11,9,10,13,15,21,22,24,4,8,0,9,97,5598,95911,194859,0,11155700,1449000,14700,2100,900,553668980
152,2016/3/18,8,12,17,21,23,24,31,6,7,1,17,130,7742,116837,197700,800000000,6175600,1130500,11100,1800,900,69792960
153,2016/3/25,7,9,10,16,20,28,37,2,33,1,12,115,5753,91889,158231,362456100,7885800,1152000,13500,2000,1000,0
154,2016/4/1,2,4,19,21,24,28,35,3,13,1,15,127,5988,92287,163911,257297800,5671400,937700,11600,1800,900,0
155,2016/4/8,2,9,13,18,22,24,26,10,37,1,11,161,6403,88855,138643,251995000,7583900,725400,10700,1900,1000,0
156,2016/4/15,4,9,16,19,22,33,34,17,36,1,5,138,5663,82668,131839,259663500,16995300,862000,12300,2000,1100,0
157,2016/4/22,5,9,16,26,28,29,32,1,37,0,6,112,4754,80218,129228,0,13780700,1033500,14200,2000,1100,252322715
158,2016/4/29,3,6,7,30,32,36,37,5,20,1,7,109,4614,84564,141718,535280700,13303800,1196100,16500,2200,1100,0
159,2016/5/6,10,14,17,21,23,27,31,16,24,0,5,127,5520,83349,127314,0,15896900,876100,11800,1900,1100,234794530
160,2016/5/13,1,2,8,24,32,36,37,23,33,2,5,94,6795,87158,151192,255795700,18657900,1389400,11200,2100,1100,0
161,2016/5/20,8,14,17,18,20,22,34,4,30,0,6,69,4314,70156,128448,0,13320500,1621600,15200,2300,1100,233401615
162,2016/5/27,2,7,8,12,14,23,27,6,10,1,15,156,8086,112419,178019,500555900,6029500,811600,9100,1600,900,0
163,2016/6/3,1,2,6,16,28,30,31,3,7,1,7,118,5118,79064,150062,237793900,11300600,938500,12600,2000,900,0
164,2016/6/10,3,13,20,23,31,35,36,2,11,0,4,92,4328,67249,127590,0,19067900,1160600,14400,2300,1000,229558135
165,2016/6/17,9,11,14,15,16,18,27,6,20,0,3,96,5542,100873,163858,0,32554300,1424200,14400,1900,1000,529403390
166,2016/6/24,14,20,27,29,30,31,37,23,34,0,9,103,5210,90495,159868,0,11749100,1437200,16600,2300,1200,838919740
167,2016/7/1,1,3,5,7,10,26,36,19,37,2,16,175,8295,126796,199765,596966700,7293200,933500,11500,1800,1000,0
168,2016/7/8,3,9,12,14,19,20,36,2,5,0,8,96,4707,79672,142639,0,10278400,1199100,14300,2000,1000,249683290
169,2016/7/15,1,5,10,20,21,28,30,25,26,0,9,145,7713,101092,143001,0,10458600,908800,10000,1800,1100,541842255
170,2016/7/22,3,5,6,9,27,32,36,12,24,1,9,126,7099,111780,198470,800000000,11318500,1131800,11700,1800,900,45774325
171,2016/7/29,1,2,6,21,23,27,28,11,16,1,6,112,5675,94440,169580,308533500,14778000,1108300,12800,1900,900,0
172,2016/8/5,5,20,21,27,30,31,36,9,26,1,10,143,5836,82221,134057,229139600,7737500,757500,10800,1900,1000,0
173,2016/8/12,7,9,19,22,24,27,30,4,28,0,9,96,4599,76223,151261,0,8179800,1073500,13100,1900,800,228099815
174,2016/8/19,10,13,14,15,23,31,32,4,29,3,7,109,5268,86852,160305,170269900,13318400,1197400,14500,2100,1000,0
175,2016/8/26,6,17,21,31,33,35,37,14,18,0,3,93,4005,70659,124654,0,26441700,1194100,16200,2200,1100,239677540
176,2016/9/2,1,11,12,17,22,30,35,15,16,0,5,89,5367,87754,148588,0,18978800,1492600,14500,2100,1100,528455810
177,2016/9/9,9,15,19,23,25,34,36,2,35,1,9,142,6691,108184,184822,800000000,11551700,1025000,12700,1900,1000,35718160
178,2016/9/16,6,9,11,15,26,34,36,13,37,0,8,93,5206,84160,137192,0,11013900,1326300,13900,2100,1100,298979855
179,2016/9/23,4,9,12,13,22,26,36,5,33,1,8,150,6573,100985,168946,581403600,11980000,894400,11900,1900,1000,0
180,2016/9/30,1,8,11,21,23,25,28,5,37,0,14,109,5735,89930,153913,0,5721300,1028700,11400,1800,900,237187815
181,2016/10/7,7,8,10,13,19,23,24,15,27,0,7,130,6491,102655,189360,0,13205000,995400,11600,1800,800,521445450
182,2016/10/14,1,7,10,11,20,23,30,3,37,0,28,203,9719,117841,189068,0,3682100,711000,8700,1700,900,842496950
183,2016/10/21,6,15,20,26,33,34,37,19,29,0,5,113,5827,98227,175010,0,23089700,1430300,16200,2300,1200,1181212000
184,2016/10/28,7,14,18,22,23,26,34,2,32,1,28,256,9419,127958,204874,800000000,4463800,683500,10800,1900,1100,751867760
185,2016/11/4,1,2,4,16,26,29,34,11,12,0,6,100,5587,96090,194575,0,18419400,1547200,16200,2300,1000,1077699135
186,2016/11/11,5,14,16,19,31,33,37,21,28,0,9,109,6212,101630,189498,0,12858400,1486300,15300,2300,1100,1411599250
187,2016/11/18,4,6,10,23,24,32,36,15,31,2,13,206,8657,135560,231695,800000000,9624600,850300,11800,1800,900,198771140
188,2016/11/25,6,15,19,25,26,30,31,14,18,1,4,112,5621,93300,158624,478206800,24214600,1210700,14100,2100,1100,0
189,2016/12/2,3,7,8,10,18,23,35,1,19,2,8,126,6418,98944,157885,123108600,10370900,921800,10600,1700,900,0
190,2016/12/9,2,11,12,18,21,33,36,8,34,1,12,105,5065,83879,144610,240259100,6759300,1081400,13100,1900,1000,0
191,2016/12/16,8,15,21,24,26,27,29,7,30,0,4,94,4653,76562,137587,0,20202500,1203500,14200,2100,1000,243867070
192,2016/12/23,12,13,14,19,25,33,34,3,22,0,12,118,5960,92178,163402,0,7783800,1108100,12800,2000,1000,522955095
193,2016/12/30,4,6,20,21,22,24,31,9,10,0,9,113,6037,100444,193019,0,12021800,1340400,14700,2100,1000,844728055
194,2017/1/6,3,6,27,30,31,32,36,14,23,0,6,130,6171,96460,189955,0,16169400,1044700,12900,2000,900,1131549130
195,2017/1/13,4,7,12,20,23,24,31,26,35,4,11,229,8965,131305,199956,371873100,10556800,709900,10600,1700,1000,0
196,2017/1/20,7,13,15,25,30,32,37,8,14,0,11,113,4792,76951,143940,0,7321700,997800,13800,2100,1000,234599870
197,2017/1/27,6,8,10,12,16,21,28,14,23,0,10,163,7271,109584,183425,0,9519200,817500,10700,1700,900,522001970
198,2017/2/3,18,21,31,32,33,36,37,5,25,0,5,92,7830,97289,185503,0,23983300,1824700,12500,2500,1100,879541410
199,2017/2/10,1,9,17,20,22,28,29,13,16,2,22,259,11394,147540,230618,636223100,6022200,716100,9500,1800,1000,0
200,2017/2/17,13,14,17,21,27,28,34,1,11,4,12,134,6075,94341,152630,67987600,7805300,978500,12600,2000,1100,0
201,2017/2/24,8,11,17,24,28,31,32,12,34,1,10,134,6540,96493,156259,263734200,8851000,924700,11100,1800,1000,0
202,2017/3/3,3,7,11,16,22,34,37,29,32,1,18,145,6040,89056,133997,254364500,4726500,821400,11500,1900,1100,0
203,2017/3/10,6,13,17,22,32,33,36,12,28,1,9,106,5225,80052,147130,236902300,9011200,1071100,12700,2000,1000,0
204,2017/3/17,5,19,20,21,30,34,36,7,12,0,4,100,4310,68340,129597,0,19529000,1093600,14800,2300,1000,237457480
205,2017/3/24,4,5,19,31,35,36,37,27,32,0,5,102,4969,84038,141768,0,17824400,1223200,14700,2100,1100,502863990
206,2017/3/31,1,6,7,11,27,35,36,22,26,2,10,127,6385,103019,174481,405262500,10099400,1113300,12900,1900,1000,0
207,2017/4/7,4,5,10,13,28,32,33,19,26,0,6,96,4637,77499,134173,0,13070000,1143600,13800,2000,1000,237151340
